,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
1279631,2022-06-03,US_IL_17035,,,36.0,4224.0,,,,,,,,,,,,,,,,,,,,,,,,,,
866761,2022-01-15,PL_28_08,25.0,24789.0,6.0,23114.0,152.0,59134.0,,,,,,,,,,,,,,,,,,,,,,,,
727466,2021-09-02,PL_04_09,62.0,17073.0,20.0,15053.0,82.0,32126.0,,,,,,,,,,,,,,,,,,,,,,,,
1283478,2022-02-18,US_IL_17051,,,-15.0,7580.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1906683,2021-07-11,US_NM_35051,,,23.0,4402.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2296361,2021-12-04,US_TX_48261,,,0.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65721,2021-04-09,AR_B_778,19.0,3554.0,2.0,496.0,21.0,4050.0,,,,,,,,,,,,,,,,,,,,,,,,
1990718,2022-03-05,US_OH_39161,,,4.0,12146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
363207,2021-04-24,FR_HDF_59,5432.0,532200.0,8058.0,225939.0,13490.0,758139.0,,,,,,,,,,,,,,,,,,,,,,,,
698925,2021-03-27,MY_09,0.0,9612.0,0.0,2179.0,0.0,11791.0,0.0,9612.0,0.0,2175.0,,,,,,,,,,,,,,,0.0,0.0,,,,
603092,2021-03-19,IL_Z_0509,37.0,11722.0,112.0,9270.0,149.0,20992.0,,,,,,,,,,,,,,,,,,,,,,,,
2048635,2021-12-06,US_OR_41061,,,31.0,12380.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1934803,2022-03-16,US_NY_36063,,,26.0,138298.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56513,2021-11-27,AR_B_648,86.0,34970.0,94.0,26858.0,180.0,61828.0,,,,,,,,,,,,,,,,,,,,,,,,
2199793,2021-07-23,US_TN_47063,,,45.0,19630.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1856928,2021-05-28,US_NE_31109,,,8.0,148644.0,,,,,,,,,,,,,,,,,,,,,,,,,,
336513,2022-01-16,FR_ARA_63,84.0,524118.0,102.0,514892.0,186.0,1039010.0,,,,,,,,,,,,,,,,,,,,,,,,
71617,2021-07-01,AR_B_868,47.0,5241.0,6.0,1325.0,53.0,6566.0,,,,,,,,,,,,,,,,,,,,,,,,
610658,2021-11-20,IL_Z_0522,0.0,8384.0,0.0,7262.0,0.0,15646.0,,,,,,,,,,,,,,,,,,,,,,,,
1953493,2021-09-11,US_OH_39011,,,19.0,15464.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1353248,2022-03-02,US_IN_18127,,,0.0,95840.0,,,,,,,,,,,,,,,,,,,,,,,,,,
944629,2022-06-03,US_AL_01047,,,4.0,17052.0,,,,,,,,,,,,,,,,,,,,,,,,,,
484816,2020-07-21,IL_M_0154,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1025924,2022-01-17,US_CA_06053,,,0.0,288269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2054300,2022-04-12,US_PA_42009,,,5.0,18612.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2400960,2022-05-10,US_VA_51115,,,1.0,5451.0,,,,,,,,,,,,,,,,,,,,,,,,,,
205253,2021-11-21,AR_W_042,0.0,5881.0,1.0,3729.0,1.0,9610.0,,,,,,,,,,,,,,,,,,,,,,,,
429976,2020-09-19,IL_D_1161,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1384756,2021-08-02,US_KS_20069,,,2.0,1704.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1680587,2021-10-22,US_MO_29223,,,3.0,4198.0,,,,,,,,,,,,,,,,,,,,,,,,,,
816638,2021-08-25,PL_18_62,58.0,23771.0,102.0,20273.0,160.0,44044.0,,,,,,,,,,,,,,,,,,,,,,,,
2534476,2022-05-16,US_WY_56013,,,0.0,20682.0,,,,,,,,,,,,,,,,,,,,,,,,,,
497801,2021-01-12,IL_M_0627,1.0,544.0,0.0,1.0,1.0,545.0,,,,,,,,,,,,,,,,,,,,,,,,
799275,2021-01-22,PL_16_01,92.0,,20.0,148.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,
1681122,2021-12-02,US_MO_29225,,,24.0,15831.0,,,,,,,,,,,,,,,,,,,,,,,,,,
435042,2022-01-23,IL_D_1303,2.0,5742.0,2.0,4794.0,4.0,10536.0,,,,,,,,,,,,,,,,,,,,,,,,
2521411,2022-01-19,US_WV_54073,,,12.0,3798.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1343599,2021-06-12,US_IN_18089,,,1510.0,181862.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1330357,2021-09-16,US_IN_18035,,,156.0,48288.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1825849,2021-10-22,US_ND_38091,,,1.0,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2374856,2022-07-27,US_VA_51007,,,0.0,4474.0,,,,,,,,,,,,,,,,,,,,,,,,,,
284401,2021-11-09,CH_FR,97.0,219163.0,156.0,213536.0,185.0,379428.0,,,,,,,,,,,,,,,,,,,,,,,,
800681,2022-03-26,PL_16_03,3.0,47872.0,9.0,42512.0,45.0,113873.0,,,,,,,,,,,,,,,,,,,,,,,,
1076476,2021-12-05,US_CT_09009,,,2670.0,611564.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2277476,2021-08-13,US_TX_48185,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
820720,2022-02-03,PL_20_05,12.0,17789.0,4.0,15528.0,90.0,42276.0,,,,,,,,,,,,,,,,,,,,,,,,
1439560,2022-07-28,US_KY_21077,,,2.0,3699.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1558118,2022-06-30,US_MI_26069,,,3.0,14174.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101356,2022-02-22,AR_G_014,18.0,7171.0,28.0,6410.0,46.0,13581.0,,,,,,,,,,,,,,,,,,,,,,,,
131065,2021-09-30,AR_K_007,7.0,1930.0,92.0,1630.0,99.0,3560.0,,,,,,,,,,,,,,,,,,,,,,,,
1249824,2022-04-01,US_ID_16005,,,23.0,45691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1606303,2021-08-03,US_MN_27097,,,4.0,12323.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1924068,2022-07-27,US_NY_36019,,,0.0,58969.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2483760,2022-01-16,US_WI_55067,,,14.0,10029.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1444472,2022-06-30,US_KY_21097,,,5.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,
901506,2021-12-01,PL_32_63,27.0,22801.0,3.0,20329.0,195.0,46276.0,,,,,,,,,,,,,,,,,,,,,,,,
1099843,2021-06-29,US_FL_12075,,,16.0,12599.0,,,,,,,,,,,,,,,,,,,,,,,,,,
703953,2021-01-15,NL,42304.0,77091.0,,,42304.0,77091.0,,,,,,,,,,,,,,,,,,,,,,,,
1914016,2022-05-20,US_NV_32015,,,0.0,2247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014292,2021-07-06,US_OK_40079,,,10.0,13235.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1894171,2022-06-08,US_NM_35003,,,0.0,1644.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2109969,2021-07-29,US_PR_72097,,,146.0,42853.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2444474,2021-11-25,US_VT_50019,,,0.0,14368.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2423500,2021-11-07,US_VA_51590,,,0.0,13384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2190936,2021-08-27,US_TN_47027,,,0.0,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1240904,2022-06-16,US_IA_19169,,,5.0,61747.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1408057,2021-10-24,US_KS_20163,,,1.0,2157.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018238,2021-06-30,US_OK_40095,,,8.0,5217.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2035327,2022-01-05,US_OR_41007,,,15.0,25476.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1388076,2022-07-24,US_KS_20081,,,0.0,1582.0,,,,,,,,,,,,,,,,,,,,,,,,,,
988863,2021-07-08,US_AR_05091,,,5.0,3691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
733012,2022-02-05,PL_04_61,156.0,265174.0,311.0,225009.0,1449.0,639870.0,,,,,,,,,,,,,,,,,,,,,,,,
2474652,2021-06-14,US_WI_55031,,,127.0,13421.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137277,2021-07-21,AR_L,1066.0,87550.0,912.0,31150.0,1978.0,118700.0,,,,,,,,,,,,,,,,,,,,,,,,
2279704,2022-04-22,US_TX_48193,,,1.0,4607.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1938673,2021-12-24,US_NY_36079,,,0.0,67978.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2279338,2022-09-12,US_TX_48191,,,0.0,1282.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1466998,2021-12-14,US_KY_21189,,,0.0,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,
759956,2022-01-30,PL_10_11,0.0,21787.0,0.0,19500.0,0.0,50594.0,,,,,,,,,,,,,,,,,,,,,,,,
311800,2021-05-17,CZ_31,3029.0,201255.0,271.0,64691.0,3300.0,265946.0,,,,,,,,,,,,,,,,,,,,,,,,
1884648,2022-05-06,US_NJ_34009,,,39.0,68387.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1296085,2021-06-26,US_IL_17103,,,74.0,13077.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2374364,2022-07-29,US_VA_51005,,,0.0,5882.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006033,2021-11-22,US_OK_40045,,,0.0,1261.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35706,2021-03-20,AR_B_364,15.0,4024.0,63.0,805.0,78.0,4829.0,,,,,,,,,,,,,,,,,,,,,,,,
1502430,2022-09-09,US_LA_22089,,,0.0,30661.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2233196,2022-02-09,US_TX_48005,,,55.0,39859.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1233525,2022-07-17,US_IA_19139,,,0.0,26180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2515552,2022-03-29,US_WV_54049,,,11.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1189387,2021-07-25,US_GA_13303,,,0.0,1534.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1504490,2021-07-11,US_LA_22099,,,39.0,13118.0,,,,,,,,,,,,,,,,,,,,,,,,,,
858801,2021-09-17,PL_26_07,80.0,48086.0,22.0,42763.0,102.0,90849.0,,,,,,,,,,,,,,,,,,,,,,,,
1902119,2022-07-22,US_NM_35031,,,0.0,66107.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58231,2021-08-29,AR_B_665,11.0,11091.0,144.0,6682.0,155.0,17773.0,,,,,,,,,,,,,,,,,,,,,,,,
668107,2021-01-18,IN_NL,875.0,1436.0,0.0,0.0,875.0,1436.0,,,,,,,,,,,,,,,,,,,,,,,,
217782,2021-04-16,AR_X_063,65.0,5988.0,47.0,880.0,112.0,6868.0,,,,,,,,,,,,,,,,,,,,,,,,
2542818,2022-01-22,UY,117.0,2839357.0,45.0,2691442.0,1768.0,7297474.0,,,,,,,,,,,,,,,,,,,,,,,,
